"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","28802.1","","","","1"
"2010","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29404.4","","","","1"
"2011","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29467.6","","","","1"
"2012","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29117.4","","","","1"
"2013","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29017.0","","","","1"
"2014","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29039.6","","","","1"
"2015","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29275.7","","","","1"
"2016","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29546.0","","","","1"
"2017","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30243.0","","","","1"
"2018","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30645.4","","","","1"
"2019","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31046.5","","","","1"
"2020","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30181.2","","","","1"
"2009","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","311089.2","","","","1"
"2010","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","317802.1","","","","1"
"2011","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","324565.7","","","","1"
"2012","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","328854.6","","","","1"
"2013","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","333047.8","","","","1"
"2014","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","338319.0","","","","1"
"2015","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","341688.0","","","","1"
"2016","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","347197.7","","","","1"
"2017","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","357097.0","","","","1"
"2018","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","368214.8","","","","1"
"2019","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","379057.7","","","","1"
"2020","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","359786.0","","","","1"
"2009","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","591636.5","","","","1"
"2010","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","609770.3","","","","1"
"2011","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","625936.9","","","","1"
"2012","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","634944.3","","","","1"
"2013","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","643937.0","","","","1"
"2014","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","659861.2","","","","1"
"2015","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","677384.0","","","","1"
"2016","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","692620.8","","","","1"
"2017","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","711695.1","","","","1"
"2018","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","735936.1","","","","1"
"2019","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","752393.2","","","","1"
"2020","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","716151.8","","","","1"
"2009","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","51522.1","","","","1"
"2010","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","52841.8","","","","1"
"2011","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","54057.9","","","","1"
"2012","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","55676.4","","","","1"
"2013","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","57169.9","","","","1"
"2014","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","58276.3","","","","1"
"2015","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","59082.5","","","","1"
"2016","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","59966.8","","","","1"
"2017","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","61965.3","","","","1"
"2018","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","63195.3","","","","1"
"2019","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","63931.2","","","","1"
"2020","Manitoba","2016A000246","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","61143.7","","","","1"
"2009","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","65649.2","","","","1"
"2010","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","68913.4","","","","1"
"2011","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","72611.6","","","","1"
"2012","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","73952.2","","","","1"
"2013","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","78708.5","","","","1"
"2014","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","80175.7","","","","1"
"2015","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","79574.2","","","","1"
"2016","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","79317.5","","","","1"
"2017","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","81121.1","","","","1"
"2018","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","82387.5","","","","1"
"2019","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","81992.3","","","","1"
"2020","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","77921.8","","","","1"
"2009","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","258933.9","","","","1"
"2010","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","272172.0","","","","1"
"2011","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","290513.8","","","","1"
"2012","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","302130.7","","","","1"
"2013","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","319548.1","","","","1"
"2014","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","338262.6","","","","1"
"2015","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","326476.7","","","","1"
"2016","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","314599.4","","","","1"
"2017","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","327996.2","","","","1"
"2018","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","334580.0","","","","1"
"2019","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","335068.3","","","","1"
"2020","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","307798.2","","","","1"
"2009","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","190709.2","","","","1"
"2010","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","195819.3","","","","1"
"2011","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","201413.0","","","","1"
"2012","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","206590.7","","","","1"
"2013","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","211555.3","","","","1"
"2014","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","219060.9","","","","1"
"2015","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","224153.4","","","","1"
"2016","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","230763.5","","","","1"
"2017","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","239205.8","","","","1"
"2018","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","248162.8","","","","1"
"2019","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","255172.3","","","","1"
"2020","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","247184.7","","","","1"
"2009","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2159.6","","","","1"
"2010","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2253.5","","","","1"
"2011","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2363.6","","","","1"
"2012","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2457.6","","","","1"
"2013","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2494.6","","","","1"
"2014","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2510.9","","","","1"
"2015","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2320.2","","","","1"
"2016","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2487.6","","","","1"
"2017","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2536.9","","","","1"
"2018","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2606.5","","","","1"
"2019","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2572.5","","","","1"
"2020","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2667.4","","","","1"
"2009","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4581.2","","","","1"
"2010","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4707.0","","","","1"
"2011","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4273.9","","","","1"
"2012","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4249.9","","","","1"
"2013","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4367.3","","","","1"
"2014","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4574.6","","","","1"
"2015","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4621.3","","","","1"
"2016","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4570.3","","","","1"
"2017","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4736.6","","","","1"
"2018","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4800.5","","","","1"
"2019","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4601.5","","","","1"
"2020","Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4133.2","","","","1"
"2009","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1690.3","","","","1"
"2010","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2004.3","","","","1"
"2011","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2120.3","","","","1"
"2012","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2173.1","","","","1"
"2013","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2392.5","","","","1"
"2014","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2362.6","","","","1"
"2015","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2353.0","","","","1"
"2016","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2479.2","","","","1"
"2017","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2806.3","","","","1"
"2018","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2932.3","","","","1"
"2019","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3161.3","","","","1"
"2020","Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3200.2","","","","1"


